id,longitude,latitude
0,-122.08,37.9
1,-121.28,38.17
2,-118.19,34.5
3,-117.44,34.59
4,-120.95,41.2
5,-118.76,34.15
6,-118.32,34.5
7,-116.86,33.45
8,-119.72,37.37
9,-120.98,37.63
10,-122.27,37.76
11,-122.01,37.85
12,-122.33,37.88
13,-123.76,39.23
14,-123.62,40.16
15,-118.14,34.08
16,-122.14,37.97
17,-117.73,33.58
18,-120.84,39.47
19,-121.98,38.44
20,-119.39,35.85
21,-121.18,40.21
22,-118.33,33.89
23,-119.49,35.89
24,-116.76,32.84
25,-119.8,38.79
26,-120.8,39.21
27,-121.05,39.12
28,-118.14,34.19
29,-122.52,37.91
30,-120.55,41.49
31,-121.83,37.37
32,-120.82,38.42
33,-122.26,38.18
34,-121.78,36.96
35,-117.86,33.84
36,-123.57,38.81
37,-122.3,40.45
38,-120.55,38.07
39,-122.45,38.58
40,-121.36,38.72
41,-121.8,37.98
42,-116.7,33.57
43,-117.21,34.53
44,-121.89,36.99
45,-121.83,36.96
46,-122.06,39.01
47,-118.04,34.13
48,-124.08,40.86
49,-121.38,38.6
50,-119.71,36.32
51,-120.35,38.24
52,-121.64,36.88
53,-120.58,35.12
54,-118.08,33.87
55,-122.19,39.63
56,-118.83,35.19
57,-122.12,37.69
58,-118.71,37.55
59,-120.69,35.48
60,-122.2,37.45
61,-120.6,37.35
62,-119.49,37.08
63,-121.08,38.89
64,-120.98,38.89
65,-121.26,37.98
66,-118.33,33.33
67,-120.12,36.03
68,-120.38,38.19
69,-120.72,35.2
70,-118,34.04
71,-117.91,34.14
72,-116.07,35.28
73,-119.03,35.35
74,-117.97,34.08
75,-120.12,34.63
76,-120.7,37.45
77,-121.41,39.38
78,-116.9,33.95
79,-117.05,34.87
80,-119.57,37.33
81,-121.96,38.03
82,-124.18,40.77
83,-122.32,38.01
84,-121.35,39.11
85,-120.42,37.3
86,-120.12,37.57
87,-120.05,38.47
88,-118.65,35.18
89,-116.98,33.91
90,-120.41,39.85
91,-121.25,40
92,-118.69,34.21
93,-118.18,33.98
94,-118.16,33.97
95,-122.24,40.65
96,-118.13,33.89
97,-122.3,37.52
98,-122.47,37.87
99,-122.09,37.08
100,-123.77,40.06
101,-122.21,40.26
102,-122.15,38.07
103,-118.48,37.82
104,-122.3,37.87
105,-116.29,33.74
106,-121.41,39.63
107,-124.16,41.75
108,-121.64,38.03
109,-118.4,34.08
110,-121.13,41.13
111,-116.79,34.25
112,-116.9,34.24
113,-121.92,41.01
114,-119.25,37.2
115,-124.13,41.16
116,-118.3,37.17
117,-114.36,34.14
118,-121.71,39.41
119,-120.02,36.8
120,-118.4,37.37
121,-122.52,38.11
122,-121.91,37.82
123,-120.54,35.05
124,-120.61,39.78
125,-122.85,38.32
126,-117.4,34.06
127,-123.99,40.88
128,-114.62,33.62
129,-123.03,38.32
130,-122.97,38.35
131,-118.48,35.58
132,-122.71,37.92
133,-115.73,33.35
134,-119.89,36.96
135,-117.03,32.67
136,-122.14,37.04
137,-117.19,33.28
138,-123.37,39.01
139,-119.89,37.47
140,-117.67,35.02
141,-121.67,36.69
142,-116.36,33.24
143,-116.95,32.82
144,-122.13,37.13
145,-116.29,32.66
146,-119.75,36.61
147,-122.49,38.31
148,-117.97,34.15
149,-120.8,35.86
150,-115.53,32.98
151,-117.87,33.93
152,-121.72,37.94
153,-121,37.6
154,-119.21,38.26
155,-122.34,37.69
156,-122.48,37.69
157,-122.11,37.11
158,-123.4,39.44
159,-120.07,37.81
160,-120.54,38.45
161,-121.19,39.88
162,-120.19,34.62
163,-118,33.86
164,-120.92,38.3
165,-121.93,37.32
166,-118.32,34.19
167,-122.36,37.59
168,-121.67,40.88
169,-123.51,40.81
170,-121.7,39.75
171,-121.54,40.09
172,-121.64,39.66
173,-119.44,35.41
174,-121.64,37.88
175,-120.98,37.62
176,-120.58,39.76
177,-116.78,33.91
178,-118.67,34.14
179,-115.49,32.68
180,-117.87,35.16
181,-118.66,35.89
182,-120.66,41.41
183,-117.05,33.99
184,-115.51,33.15
185,-122.58,38.58
186,-120.58,35.05
187,-123.2,39.23
188,-120.44,39.66
189,-119.76,36.71
190,-120.95,38.24
191,-120.99,38.27
192,-119.03,34.22
193,-121.08,35.55
194,-121.93,37.26
195,-120.99,38.67
196,-120.68,38.74
197,-121.88,37.79
198,-118.61,36.14
199,-117.32,33.31
200,-117.38,33.23
201,-121.95,37.28
202,-116.47,32.64
203,-121.05,39.45
204,-120.88,41.45
205,-120.32,36.5
206,-117.26,33.69
207,-121.08,40.17
208,-121.95,36.98
209,-121.16,40.08
210,-117.28,33.12
211,-121.72,36.48
212,-121.92,36.55
213,-123.07,38.37
214,-121.32,38.63
215,-120.08,39.23
216,-119.51,34.38
217,-122.36,41.45
218,-118.26,33.84
219,-118.03,36.31
220,-119.85,36.54
221,-118.94,34.18
222,-116.97,32.76
223,-120.53,34.84
224,-123.8,39.36
225,-121.55,40.92
226,-118.63,34.48
227,-122.06,37.87
228,-122.06,37.71
229,-121.75,36.77
230,-116.47,33.84
231,-120.09,37.44
232,-120.89,35.44
233,-123.1,38.53
234,-120.27,38.07
235,-118.58,36.14
236,-120.17,41.53
237,-119.5,36.74
238,-120.95,37.6
239,-118.07,33.87
240,-118.38,37.51
241,-121.26,39.46
242,-119.22,34.16
243,-117.86,34.1
244,-121.53,39.65
245,-119.26,35.47
246,-116.97,33.98
247,-122.1,37.68
248,-121.23,40.3
249,-121.82,39.76
250,-120.14,39.81
251,-117.77,35.64
252,-120.44,37.87
253,-117.67,33.98
254,-117.73,33.95
255,-120.23,37.11
256,-121.51,36.57
257,-117.01,32.63
258,-117.89,34.12
259,-121.29,38.69
260,-117.72,34.13
261,-121.54,38.42
262,-121.16,38.31
263,-121.93,37.94
264,-121.05,40.3
265,-122.63,38.96
266,-122.66,39.02
267,-122.72,38.95
268,-123.78,39.49
269,-120.57,39.75
270,-121.17,39.53
271,-123.02,38.8
272,-119.69,36.83
273,-122.03,38.03
274,-116.15,33.69
275,-120.33,36.14
276,-119.7,37.25
277,-122.72,38.84
278,-122.71,41.08
279,-121.74,39.9
280,-120.88,38.75
281,-120.05,38.16
282,-119.52,38.58
283,-120.95,39.09
284,-122.01,39.01
285,-121.27,38.21
286,-122.45,37.68
287,-120.89,38.8
288,-117.33,34.05
289,-120.41,38.03
290,-122.01,39.2
291,-118.15,34
292,-123.59,39.27
293,-118.23,33.89
294,-122,37.97
295,-121.52,39.77
296,-122.05,37.93
297,-120.63,37.94
298,-119.56,36.08
299,-122.18,39.93
300,-117.56,33.86
301,-117.17,32.64
302,-117.61,33.88
303,-121.79,36.99
304,-122.51,37.93
305,-117.91,33.67
306,-122.71,38.33
307,-117.59,33.6
308,-122.29,40.39
309,-120.2,37.71
310,-121.34,37.97
311,-121.56,38.33
312,-123.25,39.8
313,-117.88,34.09
314,-120.99,37.56
315,-124.19,41.77
316,-120.92,40.1
317,-120.66,37.42
318,-116.87,32.8
319,-117.29,34.25
320,-117.4,34.03
321,-120.52,35.52
322,-122.22,38.05
323,-120.69,39.87
324,-118.75,37.57
325,-121.08,37.39
326,-118.18,33.96
327,-118.4,34.01
328,-122.05,37.32
329,-119.29,36.53
330,-124.14,40.77
331,-119.61,34.93
332,-118.04,33.82
333,-122.47,37.69
334,-117.71,33.44
335,-121.97,37.81
336,-120.55,41.51
337,-117.59,36.27
338,-122.19,37.02
339,-121.74,38.56
340,-121.86,37.03
341,-122.47,38.54
342,-118.37,33.92
343,-117.26,32.96
344,-121.95,36.58
345,-119.6,36.66
346,-121.84,36.59
347,-121.01,37.74
348,-119.26,35.77
349,-119.45,36.51
350,-120.78,37.43
351,-120.5,39.81
352,-120.8,37.53
353,-119.6,35.24
354,-116.63,32.87
355,-115.37,33.74
356,-116.44,33.92
357,-116.55,33.97
358,-116.29,33.78
359,-116.04,33.4
360,-118.15,34.59
361,-121.96,37.84
362,-121.27,37.4
363,-117.82,34
364,-120.84,38.69
365,-122.96,38.24
366,-119.4,36.55
367,-121.6,37.91
368,-121.82,38.45
369,-118.42,37.39
370,-121.21,39.37
371,-121.16,38.21
372,-120.11,39.19
373,-120.27,38.29
374,-121.92,41.96
375,-120.63,36.99
376,-120.64,37.05
377,-122.93,40.66
378,-118.13,33.94
379,-120.82,39.57
380,-120.12,40.03
381,-120.86,38.44
382,-117.95,34.16
383,-121.9,37.72
384,-119.05,35.89
385,-121.97,38.89
386,-122.27,41.23
387,-121.79,39.62
388,-119.37,35.22
389,-120.83,39.21
390,-120.11,41.32
391,-119.27,35.88
392,-121.82,37.38
393,-116.94,33.73
394,-117.99,33.92
395,-118.17,34.03
396,-121.54,38.91
397,-120.8,37.78
398,-119.26,36.55
399,-122.13,37.47
400,-118.08,34.14
401,-118.97,36.06
402,-120.92,39.92
403,-118.2,33.89
404,-122.31,37.95
405,-118.08,34.12
406,-121.08,40.25
407,-120.34,37.98
408,-119.28,36.2
409,-119.79,36.65
410,-117.58,33.96
411,-122.43,41.46
412,-118.82,35.23
413,-120.61,35.21
414,-117.93,34.9
415,-116.96,32.8
416,-115.56,32.79
417,-117.52,33.84
418,-122.3,37.92
419,-121.05,38.67
420,-122.47,37.51
421,-118.03,34.07
422,-120.5,37.13
423,-120.66,35.64
424,-119.79,37.67
425,-119.07,36.22
426,-119.16,34.25
427,-118.4,33.92
428,-117.46,33.87
429,-122.3,37.97
430,-122.49,38.3
431,-122.51,38.33
432,-118.38,34.66
433,-122.54,39.6
434,-121.38,38.42
435,-121.72,36.81
436,-121.91,38.35
437,-121.45,38.72
438,-122.27,37.47
439,-122.3,37.84
440,-120.9,37.64
441,-117.26,33.05
442,-121,37.79
443,-117.07,33.13
444,-122.02,38.69
445,-122.89,41.46
446,-116.95,32.89
447,-124.16,40.79
448,-119.15,36.29
449,-121.25,38.65
450,-117.19,32.99
451,-122.6,37.99
452,-122.04,38.26
453,-120.2,37.08
454,-122.05,37.68
455,-121.44,41.01
456,-117.23,33.37
457,-119.21,36.31
458,-121,37.93
459,-119.55,35.18
460,-122.08,37.04
461,-124.26,40.58
462,-122.49,38.33
463,-120.76,38.51
464,-124.03,40.97
465,-124.22,40.72
466,-118.92,34.4
467,-120.45,36.85
468,-119.64,37.48
469,-118.24,33.97
470,-121.4,38.48
471,-120.02,39.39
472,-122.45,39.93
473,-121.15,38.68
474,-117.46,34.1
475,-121.35,38.69
476,-121.27,39.53
477,-119.46,35.16
478,-120.41,38.17
479,-121.67,39.9
480,-120.83,39.01
481,-122.89,38.48
482,-120.16,41.86
483,-123.8,39.44
484,-116.68,35.25
485,-122.84,41.61
486,-119.76,36.88
487,-124.14,40.59
488,-122.24,37.58
489,-117.95,33.71
490,-119.67,36.62
491,-120.53,37.33
492,-121.46,38.37
493,-118.95,34.81
494,-121.8,36.94
495,-121.5,38.46
496,-122,37.52
497,-121.28,37.88
498,-122.63,40.72
499,-117.11,33.6
500,-119.79,36.78
501,-119.71,36.98
502,-121.94,37.31
503,-121.46,38.53
504,-118.91,35.3
505,-117.93,33.88
506,-122.77,38.49
507,-116.87,36.43
508,-121.3,38.27
509,-123.79,40.1
510,-121.23,37.96
511,-120.61,35.42
512,-117.96,33.78
513,-118.31,33.89
514,-120.31,34.89
515,-116.49,33.92
516,-123.97,41.84
517,-122.52,41.51
518,-120.84,38.91
519,-122.15,40.06
520,-122.9,38.72
521,-121.58,37
522,-117.49,34.02
523,-122.54,38.36
524,-118.25,34.18
525,-117.85,34.14
526,-120.52,39.76
527,-121.25,38.63
528,-118.5,35.15
529,-119.86,34.44
530,-121.44,36.51
531,-117.28,33.77
532,-120.89,39.55
533,-119.42,36.35
534,-120.65,39.76
535,-117.31,34.03
536,-119.71,36.34
537,-121.17,38.76
538,-116.91,32.8
539,-120.74,39.44
540,-121.06,39.22
541,-122.87,38.44
542,-121.18,37.58
543,-120.13,37.76
544,-117.08,33.73
545,-122.16,38.26
546,-118.41,34.62
547,-119.12,35.38
548,-119.01,35.27
549,-121.25,36.32
550,-120.76,39.9
551,-122.92,41.55
552,-120.95,40.13
553,-122.53,41.64
554,-121.7,39.36
555,-121.9,39.07
556,-120.54,38.64
557,-120.24,37.83
558,-120.62,35.12
559,-120.57,34.96
560,-122.99,38.51
561,-122.2,38.83
562,-120.99,37.25
563,-117.97,34
564,-122.44,37.47
565,-121.1,40.28
566,-122.01,39.74
567,-119.65,36.33
568,-123.39,41.81
569,-116.84,32.83
570,-119.72,36.4
571,-118.96,36.65
572,-121.95,38.42
573,-118.67,34.48
574,-121.48,40.81
575,-118.07,33.83
576,-118.35,33.91
577,-123.13,40.56
578,-122.11,37.63
579,-122.87,38.62
580,-115.52,32.73
581,-116.99,33.74
582,-121.23,38.29
583,-122.29,38.03
584,-120.14,40.14
585,-118.4,33.87
586,-117.31,34.4
587,-120.75,37.63
588,-118.66,34.16
589,-117.12,33.22
590,-122.55,38.8
591,-117.31,34.01
592,-117.17,34.11
593,-122.34,37.52
594,-122.36,37.56
595,-120.85,37.4
596,-124.07,41.79
597,-121.4,36.86
598,-115.38,32.81
599,-119.64,36.3
600,-117.51,33.88
601,-117.11,33.75
602,-116.41,34.27
603,-117.39,35.89
604,-121.54,39.33
605,-121.52,38.37
606,-123.12,38.97
607,-122.56,41.91
608,-120.24,37.5
609,-120.87,37.6
610,-124.2,40.72
611,-118.01,33.69
612,-118.22,33.98
613,-120.1,36.2
614,-123.47,40.63
615,-124.08,40.56
616,-118.67,35.81
617,-116.73,33.74
618,-117.12,32.57
619,-115.57,32.84
620,-118.21,36.83
621,-120.98,40.06
622,-116.34,33.7
623,-124.08,40.81
624,-116.24,33.73
625,-116.25,33.84
626,-117.93,34.02
627,-118.34,33.96
628,-121.74,36.95
629,-122.85,38.08
630,-117.82,35.65
631,-120.94,38.36
632,-120.48,39.78
633,-117.77,33.68
634,-117.96,34.11
635,-119.86,34.41
636,-121.61,38.16
637,-119.22,36.39
638,-120.77,38.35
639,-116.18,32.63
640,-120.41,37.96
641,-116.87,32.72
642,-120.53,40.28
643,-123.12,38.45
644,-117.64,35.37
645,-120.58,40.38
646,-120.71,39.77
647,-116.31,34.12
648,-116.59,33.07
649,-123.06,40.73
650,-119.1,37.77
651,-120.95,40.01
652,-117.87,36.48
653,-118.61,35.23
654,-121.47,39.53
655,-122.83,38.97
656,-121.25,37.93
657,-118.11,36.01
658,-122.28,37.91
659,-122.55,37.95
660,-122.54,38.42
661,-120.06,36.73
662,-118.43,35.75
663,-122.46,40.61
664,-119.96,36.01
665,-120.91,37.56
666,-121.13,36.22
667,-120.02,39.25
668,-119.56,36.52
669,-120.44,39.32
670,-120.06,38.69
671,-124.01,41.53
672,-121.72,38.8
673,-121.65,37.96
674,-118.2,34.21
675,-118.24,34.23
676,-117.95,33.93
677,-117.95,33.96
678,-122.27,37.32
679,-117.02,32.77
680,-118.01,33.9
681,-118.04,33.85
682,-120.99,39.67
683,-117,32.71
684,-117.95,34.03
685,-116.28,33.65
686,-121.35,38.57
687,-121.84,36.93
688,-117.77,34.12
689,-120.11,36.88
690,-122.2,37.4
691,-118.37,34
692,-117.64,33.55
693,-122.12,37.89
694,-117.76,33.54
695,-117.7,33.59
696,-117.7,33.53
697,-117.73,33.61
698,-122.69,38.02
699,-121.15,40.26
700,-121.13,40.28
701,-121.2,40.23
702,-117.19,34.25
703,-122.21,40.36
704,-120.23,41.65
705,-120.46,39.86
706,-120.34,37.65
707,-117.33,33.68
708,-117.67,33.66
709,-118.46,34.68
710,-118.48,35.64
711,-117.83,34.61
712,-117.37,33.82
713,-120.87,35.73
714,-121.06,39.04
715,-119,34.82
716,-116.81,33.52
717,-117.21,33.12
718,-118.88,34.13
719,-121.2,39.24
720,-122.39,40.9
721,-117.37,33.65
722,-122.92,39.04
723,-116.9,32.86
724,-117.12,33.83
725,-118.12,33.85
726,-118.92,35.27
727,-119.93,36.44
728,-118.18,34.69
729,-122.75,38.51
730,-122.53,37.94
731,-117.62,33.58
732,-122.16,40.07
733,-121.73,36.87
734,-121.31,37.82
735,-119.69,36.43
736,-118.35,33.89
737,-123.49,39.67
738,-120.25,37.23
739,-118.9,34.84
740,-119.12,37.95
741,-123.73,39.86
742,-119.03,36.38
743,-117.03,32.73
744,-121.46,38.52
745,-119.8,36.3
746,-119.9,36.26
747,-118.36,33.94
748,-117.11,34.89
749,-118.3,34.61
750,-122.82,40.7
751,-121.99,37.16
752,-120.5,41.23
753,-121.29,38.87
754,-121.33,38.01
755,-121.54,39.12
756,-119.07,36.36
757,-121.1,38.02
758,-119.09,36.21
759,-119.22,36.31
760,-120.38,40.39
761,-120.96,39.73
762,-123.78,39.27
763,-117.98,34.52
764,-121.98,36.99
765,-121.67,39.27
766,-121.76,37.69
767,-120.73,37.39
768,-121.16,38.15
769,-121.08,35.94
770,-121.29,38.12
771,-122.51,39.3
772,-124.22,40.64
773,-117.25,34.04
774,-122.3,37.27
775,-121.4,39.32
776,-118.32,33.79
777,-122.05,37.11
778,-120.47,34.66
779,-119.44,36.48
780,-118.08,36.58
781,-120.13,38.1
782,-118.16,33.81
783,-121.15,41.21
784,-121.2,38.81
785,-118.06,33.8
786,-120.28,34.74
787,-122.1,37.37
788,-122.14,37.37
789,-118.41,34.11
790,-120.84,37.06
791,-120.55,35.08
792,-121.96,37.23
793,-122.1,40.03
794,-120.12,34.66
795,-120.82,35.31
796,-120.63,35.21
797,-119.68,35.63
798,-122.61,38.91
799,-120.24,39.68
800,-122.1,37.35
801,-122.58,38.04
802,-122.78,39.07
803,-116.9,34.44
804,-118.2,33.92
805,-117.5,34.25
806,-120.54,39.78
807,-122.01,41.83
808,-123.49,40.43
809,-120.08,37.01
810,-120.08,36.96
811,-121.61,39.82
812,-119.73,36.68
813,-118.78,34.04
814,-118.99,37.63
815,-123.69,38.97
816,-118.4,33.89
817,-124.16,40.85
818,-121.23,37.8
819,-121.85,40.42
820,-117.28,33.89
821,-119.41,35.05
822,-122.51,37.87
823,-121.79,36.68
824,-118.45,33.98
825,-119.98,37.49
826,-119.82,38.68
827,-120.8,38.36
828,-122.12,38
829,-121.58,39.15
830,-119.35,36.17
831,-121.28,38.55
832,-122.19,39.28
833,-119.76,36.77
834,-118.01,34.12
835,-118.19,33.99
836,-121.41,41.04
837,-121.4,38.66
838,-118.65,35.82
839,-122.14,41.25
840,-119.24,35.68
841,-118.79,37.57
842,-124.09,40.95
843,-119.62,35.3
844,-120.59,37.31
845,-117.29,33.83
846,-121.08,39.93
847,-121.03,39
848,-117.28,33.72
849,-116.06,33.58
850,-119.27,34.45
851,-123.83,39.31
852,-120.38,36.76
853,-117.18,33.69
854,-122.15,37.48
855,-117.11,34.06
856,-120.48,37.31
857,-121.91,39.14
858,-118.54,37.42
859,-114.73,33.6
860,-119.8,38.81
861,-118.97,35.06
862,-119.27,35.47
863,-120.18,38.06
864,-122.62,38.75
865,-119.95,37.55
866,-117.99,33.74
867,-120.37,40.16
868,-122.54,37.91
869,-122.4,37.6
870,-122.17,40.56
871,-121.89,37.43
872,-121.57,40.38
873,-119.46,36.73
874,-117.52,33.98
875,-119.29,34.43
876,-123.82,40.23
877,-119.71,34.45
878,-120.44,34.69
879,-117.66,33.61
880,-120.99,37.66
881,-120.59,39.8
882,-118.19,35.01
883,-120.71,38.31
884,-119.74,36.57
885,-119.15,38.04
886,-120.27,38.01
887,-117.99,34.17
888,-119.34,36.49
889,-122.53,41.73
890,-122.33,38
891,-122.49,37.55
892,-117.7,34.07
893,-123.01,38.47
894,-121.99,37.24
895,-118.11,34.02
896,-119.63,34.44
897,-121.88,36.6
898,-118.13,34.05
899,-121.01,37.53
900,-121.92,40.84
901,-121.88,38.66
902,-118.88,34.29
903,-121.25,38.04
904,-122.12,37.84
905,-117.2,33.92
906,-121.64,37.13
907,-116.56,34.07
908,-120.87,35.37
909,-122.19,38.45
910,-122.5,37.52
911,-121.79,36.8
912,-122.01,41.79
913,-122.05,37.05
914,-116.42,32.87
915,-122.32,41.32
916,-116.72,33.71
917,-122.33,40.72
918,-121.55,37.77
919,-118.4,35.64
920,-120.51,38.25
921,-117.35,34.5
922,-122.12,38.01
923,-122.08,37.4
924,-122.59,37.87
925,-120.43,38.14
926,-117.19,33.57
927,-117.35,34.15
928,-123.87,40.27
929,-124.13,40.79
930,-122.3,38.3
931,-117.1,32.67
932,-114.62,34.82
933,-121.02,39.26
934,-119.68,34.94
935,-120.3,41.99
936,-122.03,37.52
937,-121.13,38.87
938,-121.37,41.89
939,-121.02,37.32
940,-117.89,33.6
941,-122.7,38.06
942,-122.85,39.13
943,-121.57,38.9
944,-115.51,33.24
945,-119.73,37.4
946,-120.5,35.03
947,-117.55,33.93
948,-121.95,39.77
949,-121.99,37.75
950,-121.08,38.93
951,-117.81,35.05
952,-118.02,34.1
953,-122.2,37.48
954,-122,37.91
955,-121.37,38.67
956,-122.91,39.09
957,-122.37,37.96
958,-121.11,39.37
959,-115.91,33.52
960,-117.79,33.76
961,-118.08,33.91
962,-122.56,38.09
963,-121.18,41.1
964,-117.14,33.8
965,-116.95,34.05
966,-117.41,34.39
967,-118.77,34.18
968,-120.98,35.76
969,-119.3,34.4
970,-120.85,37.76
971,-119.65,37.33
972,-122.27,37.804
973,-121.7,37.99
974,-122.41,38.44
975,-116.13,33.53
976,-122.93,38.4
977,-120.61,35.1
978,-117.31,33.22
979,-116,32.74
980,-119.03,35.42
981,-119.25,34.45
982,-118,36.27
983,-119.81,36.8
984,-121.42,40.67
985,-121.55,39.08
986,-117.61,34.04
987,-118.21,35.68
988,-117.82,33.8
989,-119.32,36.62
990,-121.22,38.69
991,-120.43,34.87
992,-124.07,41.29
993,-122.18,37.88
994,-122.19,39.75
995,-119.29,36.54
996,-121.57,39.5
997,-121.49,39.49
998,-119.21,34.2
999,-122.07,37.99
1000,-121.93,36.62
1001,-122.48,37.61
1002,-121.74,36.9
1003,-121.81,36.87
1004,-121.52,39.43
1005,-116.37,33.74
1006,-116.54,33.8
1007,-118.11,34.59
1008,-122.14,37.4
1009,-122.24,40.55
1010,-114.73,33.43
1011,-118.4,33.79
1012,-118.63,35.81
1013,-118.6,37.48
1014,-122.04,37.01
1015,-121.61,39.76
1016,-118.17,33.9
1017,-120.98,37.61
1018,-120.02,36.95
1019,-121.45,38.5
1020,-120.05,36.93
1021,-119.54,36.61
1022,-118.14,34.16
1023,-122.03,37
1024,-122.55,39.88
1025,-121.14,37.47
1026,-119.3,36.38
1027,-120.18,40.14
1028,-121,40.03
1029,-121.92,40.34
1030,-117.88,35.82
1031,-117.47,33.98
1032,-121.19,39.2
1033,-122.67,38.3
1034,-121.17,38.85
1035,-117.22,33.79
1036,-122.37,37.25
1037,-122.63,38.24
1038,-121.04,37.98
1039,-117.52,34.44
1040,-123.78,40.21
1041,-123.45,39.07
1042,-120.31,38.01
1043,-117.62,34.44
1044,-118.09,33.99
1045,-122.23,37.82
1046,-118.63,36.14
1047,-121,39.43
1048,-121.15,36.18
1049,-118.64,35.87
1050,-120.66,38.41
1051,-124.16,40.73
1052,-119.17,34.84
1053,-120.18,37.86
1054,-116.51,32.84
1055,-122.32,38.01
1056,-120.58,38.44
1057,-118.8,34.41
1058,-120.67,35.14
1059,-121.9,38.02
1060,-119.29,35.98
1061,-117.86,33.88
1062,-120.8,38.73
1063,-119.14,36.14
1064,-120.32,37.29
1065,-122.08,37.95
1066,-121.88,37.67
1067,-121.97,36.96
1068,-120.66,39.8
1069,-121.56,38.99
1070,-120.84,38.48
1071,-123.7,38.91
1072,-122.81,38.08
1073,-120.59,38.76
1074,-117.76,34.06
1075,-118.53,36.11
1076,-119.15,36.06
1077,-122.18,38.04
1078,-119.2,34.16
1079,-119.03,36.06
1080,-120.47,39.82
1081,-122.22,37.37
1082,-118.68,35.8
1083,-118.64,35.81
1084,-116.61,32.61
1085,-123.11,39.32
1086,-117.02,32.99
1087,-121.16,40.21
1088,-122.02,39.4
1089,-122.18,40.08
