id,longitude,latitude
Acalanes Ridge,-122.08,37.9
Acampo,-121.28,38.17
Acton,-118.19,34.5
Adelanto,-117.44,34.59
Adin,-120.95,41.2
Agoura Hills,-118.76,34.15
Agua Dulce,-118.32,34.5
Aguanga,-116.86,33.45
Ahwahnee,-119.72,37.37
Airport,-120.98,37.63
Alameda,-122.27,37.76
Alamo,-122.01,37.85
Albany,-122.33,37.88
Albion,-123.76,39.23
Alderpoint,-123.62,40.16
Alhambra,-118.14,34.08
Alhambra Valley,-122.14,37.97
Aliso Viejo,-117.73,33.58
Alleghany,-120.84,39.47
Allendale,-121.98,38.44
Allensworth,-119.39,35.85
Almanor,-121.18,40.21
Alondra Park,-118.33,33.89
Alpaugh,-119.49,35.89
Alpine,-116.76,32.84
Alpine Village,-119.8,38.79
Alta,-120.8,39.21
Alta Sierra,-121.05,39.12
Altadena,-118.14,34.19
Alto,-122.52,37.91
Alturas,-120.55,41.49
Alum Rock,-121.83,37.37
Amador City,-120.82,38.42
American Canyon,-122.26,38.18
Amesti,-121.78,36.96
Anaheim,-117.86,33.84
Anchor Bay,-123.57,38.81
Anderson,-122.3,40.45
Angels,-120.55,38.07
Angwin,-122.45,38.58
Antelope,-121.36,38.72
Antioch,-121.8,37.98
Anza,-116.7,33.57
Apple Valley town,-117.21,34.53
Aptos,-121.89,36.99
Aptos Hills-Larkin Valley,-121.83,36.96
Arbuckle,-122.06,39.01
Arcadia,-118.04,34.13
Arcata,-124.08,40.86
Arden-Arcade,-121.38,38.6
Armona,-119.71,36.32
Arnold,-120.35,38.24
Aromas,-121.64,36.88
Arroyo Grande,-120.58,35.12
Artesia,-118.08,33.87
Artois,-122.19,39.63
Arvin,-118.83,35.19
Ashland,-122.12,37.69
Aspen Springs,-118.71,37.55
Atascadero,-120.69,35.48
Atherton town,-122.2,37.45
Atwater,-120.6,37.35
Auberry,-119.49,37.08
Auburn,-121.08,38.89
Auburn Lake Trails,-120.98,38.89
August,-121.26,37.98
Avalon,-118.33,33.33
Avenal,-120.12,36.03
Avery,-120.38,38.19
